dataset,hidden_channels,lr,dropout,epochs,hops,wd,Accuracy,std
citeseer,16,0.001,0.5,1000,3,0.0005,77.03,1.37
wisconsin,16,0.03,0.5,1000,3,0.001,90.0,3.33
cornell,16,0.03,0.5,1000,3,0.001,79.19,4.2
texas,16,0.03,0.5,1000,3,0.001,87.3,5.93
cora,16,0.001,0.3,1000,3,0.001,85.77,1.17
citeseer,16,0.001,0.5,1000,3,0.001,77.08,1.58
wisconsin,16,0.001,0.2,1000,3,0.0005,84.9,3.62
citeseer,16,0.003,0.2,1000,3,0.0005,76.87,1.28
cornell,16,0.001,0.2,1000,3,0.0005,75.14,3.15
texas,16,0.001,0.2,1000,3,0.0005,75.14,7.23
cora,16,0.001,0.4,1000,3,0.0005,87.1,1.32
citeseer,16,0.003,0.2,1000,3,0.001,76.94,1.47
wisconsin,16,0.001,0.2,1000,3,0.001,85.69,3.83
cornell,16,0.001,0.2,1000,3,0.001,76.49,2.11
texas,16,0.001,0.2,1000,3,0.001,75.68,7.93
citeseer,16,0.003,0.3,1000,3,0.0005,76.84,1.37
cora,16,0.001,0.4,1000,3,0.001,87.46,1.19
citeseer,16,0.003,0.3,1000,3,0.001,77.01,1.5
wisconsin,16,0.001,0.3,1000,3,0.0005,83.92,4.62
cornell,16,0.001,0.3,1000,3,0.0005,73.24,3.51
texas,16,0.001,0.3,1000,3,0.0005,72.97,7.05
citeseer,16,0.003,0.4,1000,3,0.0005,76.83,1.4
cora,16,0.001,0.5,1000,3,0.0005,87.46,1.0
wisconsin,16,0.001,0.3,1000,3,0.001,84.9,3.73
citeseer,16,0.003,0.4,1000,3,0.001,77.02,1.54
cornell,16,0.001,0.3,1000,3,0.001,75.14,2.91
texas,16,0.001,0.3,1000,3,0.001,72.97,6.73
cora,16,0.001,0.5,1000,3,0.001,87.46,1.29
citeseer,16,0.003,0.5,1000,3,0.0005,76.81,1.35
wisconsin,16,0.001,0.4,1000,3,0.0005,82.55,4.42
cornell,16,0.001,0.4,1000,3,0.0005,70.0,4.09
cora,16,0.003,0.2,1000,3,0.0005,85.11,1.11
texas,16,0.001,0.4,1000,3,0.0005,71.35,5.82
citeseer,16,0.003,0.5,1000,3,0.001,76.93,1.49
cora,16,0.003,0.2,1000,3,0.001,84.85,1.39
wisconsin,16,0.001,0.4,1000,3,0.001,83.53,4.57
